ID,gesture,keypoints
0,1,"[[0.0, 0.0, 0.0], [102.0, -31.0, -7.368578694284302], [174.0, -92.0, -14.257238190988687], [224.0, -151.0, -46.01736547781364], [245.0, -209.0, -69.02660874383523], [104.0, -214.0, 185.97339125616477], [154.0, -284.0, 185.8630419460576], [202.0, -285.0, 185.71767234077524], [238.0, -274.0, 181.26637061086208], [62.0, -246.0, 132.91487571202785], [96.0, -345.0, 145.4102188265044], [132.0, -404.0, 108.19383706602423], [167.0, -456.0, 72.68628680907338], [16.0, -257.0, 55.762266738861925], [13.0, -355.0, 70.56819207222668], [15.0, -419.0, 51.47467650934682], [26.0, -473.0, 25.662090270613334], [-29.0, -250.0, -34.92381799111515], [-44.0, -335.0, -26.097937033683927], [-46.0, -391.0, -27.340251280022088], [-39.0, -441.0, -35.80094231251798], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05], [-270.0, -530.0, -3.0357460488517063e-05]]"
1,1,"[[0.0, 0.0, 0.0], [98.0, -31.0, -19.685303769650986], [171.0, -93.0, -36.49473880991316], [221.0, -152.0, -74.69107031944014], [241.0, -212.0, -105.1490122739563], [100.0, -215.0, 149.85098772604368], [151.0, -285.0, 142.1108791870157], [199.0, -287.0, 137.20914499409974], [234.0, -276.0, 128.83737919127327], [56.0, -246.0, 101.9748702386011], [92.0, -345.0, 102.93958819513061], [126.0, -405.0, 60.867671509620365], [160.0, -459.0, 22.217202517324623], [10.0, -256.0, 31.76307360877955], [9.0, -355.0, 36.794446338443365], [10.0, -420.0, 13.475202238455395], [21.0, -473.0, -14.337229345152863], [-34.0, -249.0, -51.79641677957485], [-46.0, -335.0, -50.47123089040537], [-48.0, -391.0, -55.637242289274006], [-41.0, -440.0, -66.45477855173561], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05], [-270.0, -531.0, -2.6563225290487935e-05]]"
2,1,"[[0.0, 0.0, 0.0], [99.0, -33.0, -14.56214809038299], [172.0, -95.0, -27.426740168529108], [223.0, -155.0, -62.818996948812035], [244.0, -215.0, -90.40411121160108], [101.0, -216.0, 164.59588878839892], [151.0, -285.0, 159.71299823693204], [199.0, -288.0, 155.6557921147468], [235.0, -278.0, 149.13489807921525], [58.0, -247.0, 116.83687684541823], [94.0, -346.0, 123.77350621019244], [129.0, -406.0, 85.27997610564972], [163.0, -459.0, 49.988984157587055], [12.0, -258.0, 46.11139853985131], [12.0, -357.0, 56.90902904851694], [15.0, -421.0, 38.01410631569004], [27.0, -474.0, 13.430385980101988], [-33.0, -251.0, -37.93345839907296], [-45.0, -336.0, -30.570219785385632], [-46.0, -392.0, -31.576450282943135], [-38.0, -441.0, -39.30366541604981], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05], [-268.0, -532.0, -2.538547937547264e-05]]"
3,1,"[[0.0, 0.0, 0.0], [-46.0, -122.0, 2.8261031788033883], [-39.0, -223.0, 32.280943201753665], [-18.0, -295.0, 74.49828363922481], [12.0, -309.0, 129.37557879176575], [120.0, -249.0, 23.32327927523823], [114.0, -332.0, 85.58351582432988], [69.0, -334.0, 153.0376180430249], [32.0, -310.0, 200.57830743499412], [175.0, -216.0, 60.01331827743278], [236.0, -309.0, 107.5484006878707], [244.0, -366.0, 159.17944200377042], [241.0, -403.0, 197.64578541789905], [199.0, -169.0, 103.39498200108629], [273.0, -241.0, 155.25906643172289], [296.0, -298.0, 199.49637202817124], [311.0, -338.0, 228.93973930995915], [197.0, -117.0, 146.7086551839866], [261.0, -153.0, 193.05753117811668], [296.0, -184.0, 228.33566950557494], [317.0, -208.0, 255.0], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05], [-679.0, -503.0, 1.6262870231950792e-05]]"
4,1,"[[0.0, 0.0, 0.0], [116.0, -19.0, 97.62037043983057], [185.0, -59.0, 128.5733732903523], [222.0, -107.0, 161.44241381694715], [237.0, -148.0, 197.40309919641444], [195.0, -141.0, -48.36180829274995], [299.0, -200.0, -42.94605840579734], [360.0, -227.0, -10.840532757138021], [403.0, -239.0, 21.96779118514967], [143.0, -190.0, -57.59690080358555], [227.0, -296.0, -50.22330648810562], [277.0, -328.0, 5.9957682598346835], [313.0, -332.0, 52.346883973524974], [93.0, -210.0, -44.504285508890874], [158.0, -309.0, -4.358731411138251], [203.0, -326.0, 63.82516452563335], [232.0, -325.0, 110.83241454387729], [50.0, -211.0, -22.65763113623086], [101.0, -251.0, 43.820087324438184], [133.0, -244.0, 102.27191149352748], [153.0, -226.0, 142.15717556807238], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05], [-540.0, -493.0, -1.5169033936501819e-05]]"
5,1,"[[0.0, 0.0, 0.0], [99.0, -68.0, 57.26187511926821], [144.0, -134.0, 67.1635640976252], [198.0, -181.0, 55.197918650949504], [224.0, -237.0, 39.17128871394533], [36.0, -255.0, 78.27791173441747], [102.0, -315.0, 70.75980756478029], [167.0, -304.0, 62.936820510100546], [220.0, -282.0, 52.48512512122841], [5.0, -275.0, 16.611482527849063], [23.0, -389.0, -0.49994956809078417], [73.0, -456.0, -33.42597293068647], [129.0, -496.0, -64.13619072013466], [-19.0, -273.0, -47.48550774980248], [-34.0, -391.0, -63.545460749763876], [-9.0, -464.0, -96.00696517062356], [20.0, -515.0, -126.49908582711839], [-34.0, -260.0, -108.41664043120412], [-87.0, -352.0, -128.08645770030432], [-104.0, -419.0, -151.9493252377169], [-108.0, -479.0, -176.72208826558253], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07], [-432.0, -479.0, 4.385234717574349e-07]]"
6,1,"[[0.0, 0.0, 0.0], [103.0, -31.0, 9.078752940590903], [170.0, -94.0, -5.448488744289591], [223.0, -144.0, -38.30754804113673], [245.0, -193.0, -71.14000030606397], [87.0, -222.0, 59.32102157052299], [145.0, -283.0, 35.28409988572312], [200.0, -267.0, 22.229665980185217], [242.0, -239.0, 9.919109240476445], [46.0, -254.0, 6.676808470152281], [72.0, -363.0, -14.438231275638316], [119.0, -416.0, -60.06540239250978], [165.0, -457.0, -102.55529899877533], [4.0, -260.0, -56.57397491606628], [-8.0, -376.0, -71.51705322911131], [9.0, -446.0, -117.86374816541726], [33.0, -501.0, -162.87250856296785], [-35.0, -246.0, -122.68326128537046], [-85.0, -338.0, -137.89671512919665], [-109.0, -405.0, -164.98914567065935], [-118.0, -466.0, -195.678978429477], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05], [-341.0, -541.0, -1.2867736842281374e-05]]"
7,1,"[[0.0, 0.0, 0.0], [99.0, 4.0, -43.94063561130122], [191.0, -19.0, -88.41509307355744], [260.0, -35.0, -131.4699827424712], [295.0, -53.0, -171.78622071172532], [180.0, -179.0, -88.90413197085749], [259.0, -205.0, -131.99251250491534], [283.0, -145.0, -143.96352076514592], [291.0, -81.0, -155.26743299643192], [132.0, -222.0, -107.10326682221205], [192.0, -319.0, -158.35262368842902], [246.0, -353.0, -196.65825800653934], [297.0, -376.0, -232.51907046072185], [72.0, -229.0, -128.86377013831918], [93.0, -345.0, -174.82927117826125], [124.0, -401.0, -218.32447652023467], [161.0, -446.0, -255.0], [6.0, -205.0, -152.80038927727702], [-35.0, -294.0, -185.3866284399354], [-58.0, -351.0, -211.35521492418835], [-65.0, -398.0, -237.26379788269085], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05], [-69.0, -635.0, -1.0796185478056941e-05]]"
8,1,"[[0.0, 0.0, 0.0], [100.0, -31.0, 27.784499472632604], [178.0, -87.0, 21.008586240842874], [248.0, -118.0, -6.9841949166088], [305.0, -150.0, -36.52578856213623], [125.0, -225.0, 66.74199035919264], [202.0, -266.0, 47.1694416236908], [255.0, -222.0, 35.685306815346536], [291.0, -184.0, 23.69617952959507], [98.0, -256.0, 8.470641641291337], [142.0, -357.0, -9.189178123088169], [197.0, -399.0, -46.14602356660512], [249.0, -432.0, -82.7252817393926], [64.0, -262.0, -58.072687017925034], [70.0, -383.0, -70.5937986443524], [92.0, -454.0, -107.51396536369533], [120.0, -511.0, -144.88187521249455], [33.0, -248.0, -125.81899984261034], [20.0, -345.0, -139.70889446810682], [21.0, -415.0, -161.98145045088725], [34.0, -479.0, -188.25800964080736], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06], [-406.0, -597.0, -8.42890992203138e-06]]"
9,1,"[[0.0, 0.0, 0.0], [66.0, -3.0, -4.143304701604251], [122.0, -44.0, -9.921784340133186], [175.0, -72.0, -17.904569017792795], [220.0, -93.0, -26.727772359221518], [66.0, -165.0, -0.8552271775077003], [131.0, -198.0, -11.768807885614208], [189.0, -173.0, -20.097287691177883], [231.0, -140.0, -29.74960478419149], [58.0, -187.0, -13.648282943198609], [87.0, -279.0, -33.14351714688564], [133.0, -331.0, -67.70118717319983], [174.0, -364.0, -99.82782336049989], [54.0, -186.0, -27.555509744429344], [66.0, -280.0, -43.49900044589933], [98.0, -340.0, -77.99541214634982], [126.0, -378.0, -108.36202985109054], [62.0, -173.0, -42.068451335192364], [72.0, -244.0, -61.291308646113606], [91.0, -294.0, -85.56578133376962], [111.0, -332.0, -108.99983535765651], [-40.0, 26.0, 4.195108118665303e-06], [69.0, -17.0, 94.77629798297832], [114.0, -55.0, 119.59331959740658], [167.0, -78.0, 117.26064584392469], [219.0, -98.0, 111.25048148434644], [55.0, -169.0, 113.56923122069355], [141.0, -203.0, 127.72966266556907], [193.0, -172.0, 140.92409871824566], [226.0, -140.0, 146.0001646423435], [40.0, -179.0, 43.86929959358636], [99.0, -284.0, 53.668142913938595], [151.0, -338.0, 46.94191392461806], [187.0, -371.0, 33.89978016109055], [40.0, -169.0, -24.43807831841893], [80.0, -282.0, -13.127484446983033], [119.0, -340.0, -16.77594357757434], [145.0, -382.0, -28.284068573807858], [61.0, -145.0, -88.0286887446366], [84.0, -238.0, -86.3811180588037], [106.0, -290.0, -86.58588930503493], [128.0, -334.0, -92.75611304776106]]"
