ID,gesture,keypoints
0,0,"[[0.0, 0.0, 0.0], [32.0, -4.0, 72.60026920331865], [52.0, 5.0, 126.02671013069859], [63.0, 12.0, 165.52427486808347], [67.0, 22.0, 204.57582591161818], [48.0, 45.0, 145.53984236893552], [61.0, 66.0, 198.75422998590813], [69.0, 75.0, 232.16480911970365], [71.0, 79.0, 254.99998398493707], [33.0, 65.0, 129.14614215118232], [51.0, 85.0, 184.69697940815885], [55.0, 88.0, 216.12530638165086], [55.0, 89.0, 239.81524142988056], [15.0, 81.0, 114.07685901553572], [34.0, 102.0, 160.71489704111914], [38.0, 102.0, 187.40264208367037], [40.0, 101.0, 205.54625756070837], [-7.0, 95.0, 101.88436685580595], [4.0, 116.0, 137.44568911967872], [12.0, 121.0, 158.83368512571707], [20.0, 122.0, 175.87387592407595], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05], [-298.0, -59.0, -1.6015062932456685e-05]]"
1,0,"[[0.0, 0.0, 0.0], [-18.0, 28.0, -22.55566743581238], [-17.0, 61.0, -54.84964151059472], [1.0, 80.0, -73.98720496872988], [23.0, 81.0, -94.2128367474429], [-16.0, 42.0, -179.22067287076837], [-2.0, 62.0, -231.89596709825216], [15.0, 75.0, -247.2626432392189], [26.0, 81.0, -254.99999923901922], [1.0, 26.0, -182.36028500361596], [28.0, 45.0, -240.16133839919732], [45.0, 61.0, -243.464337150356], [51.0, 68.0, -248.44181511089303], [19.0, 11.0, -173.82418062073987], [43.0, 31.0, -216.3183054432319], [56.0, 47.0, -207.29285315955008], [59.0, 55.0, -203.52360890049835], [35.0, 1.0, -164.31118818317788], [56.0, 18.0, -193.9264030320075], [64.0, 31.0, -190.8107052462001], [65.0, 37.0, -190.94924300422983], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07], [-366.0, -57.0, 7.609807823882875e-07]]"
2,0,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]"
3,0,"[[0.0, 0.0, 0.0], [44.0, -39.0, -26.286624823863377], [109.0, -59.0, -66.84237083227325], [164.0, -54.0, -106.08509364756623], [205.0, -46.0, -149.48314323793363], [131.0, -43.0, -128.23783694448775], [190.0, -49.0, -190.9205617769108], [232.0, -37.0, -227.33701380024743], [263.0, -24.0, -251.79586046732788], [118.0, -3.0, -148.0036752947857], [174.0, 14.0, -210.11471830620573], [203.0, 27.0, -235.22052065848976], [225.0, 37.0, -254.99999403237257], [97.0, 37.0, -164.80809513713922], [151.0, 56.0, -214.78615884741725], [185.0, 64.0, -227.62358204131002], [210.0, 69.0, -238.50840391320673], [71.0, 76.0, -183.39769450407067], [120.0, 99.0, -223.02989798594754], [153.0, 103.0, -235.5036171083408], [180.0, 106.0, -246.6140472225414], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06], [35.0, -68.0, 5.967627430436551e-06]]"
4,0,"[[0.0, 0.0, 0.0], [-11.0, -12.0, -137.18117094820954], [-67.0, 32.0, -194.71700316986087], [-101.0, 119.0, -226.3722568188048], [-137.0, 194.0, -255.0], [-195.0, 37.0, -143.4842871004716], [-260.0, 113.0, -195.67498445361042], [-278.0, 188.0, -222.27449117502783], [-282.0, 254.0, -237.12740803804326], [-177.0, 84.0, -91.30144991161109], [-204.0, 150.0, -147.29668993470688], [-152.0, 134.0, -163.731028871709], [-137.0, 127.0, -163.72820218802528], [-148.0, 126.0, -50.78329074300271], [-151.0, 187.0, -112.13620801031277], [-113.0, 168.0, -133.25388243209306], [-103.0, 161.0, -134.63134522753433], [-115.0, 163.0, -20.246484334089075], [-114.0, 233.0, -72.20834221991393], [-105.0, 268.0, -99.20188203471284], [-117.0, 307.0, -109.24417999561413], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06], [-1225.0, -73.0, -4.981585448149417e-06]]"
5,0,"[[0.0, 0.0, 0.0], [113.0, 24.0, -106.0503909511232], [231.0, 60.0, -108.57577332191585], [319.0, 125.0, -88.33475316927533], [381.0, 173.0, -63.8108040468155], [325.0, -38.0, -0.12750646520262876], [440.0, 42.0, -6.1464544093680615], [497.0, 115.0, -29.29971668092294], [528.0, 182.0, -46.97347635203586], [284.0, 14.0, 59.16068656778103], [386.0, 114.0, 35.61826608795192], [391.0, 178.0, -20.749908126081536], [388.0, 220.0, -53.904483405101104], [246.0, 61.0, 106.41822053836486], [316.0, 149.0, 68.4807358934033], [291.0, 177.0, -4.472463924035068], [261.0, 185.0, -42.82049885440962], [224.0, 103.0, 146.42422667808415], [259.0, 158.0, 110.66236565658235], [245.0, 174.0, 55.40809508488533], [225.0, 180.0, 21.08499785770482], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05], [43.0, -248.0, -1.3898372728249342e-05]]"
6,0,"[[0.0, 0.0, 0.0], [171.0, 37.0, -69.79302950206663], [305.0, 86.0, -56.45849303612094], [389.0, 160.0, -31.244710341689455], [452.0, 219.0, -3.3186131624409825], [377.0, -21.0, 71.5634189121542], [486.0, 44.0, 105.98406988079996], [538.0, 117.0, 112.6205926838581], [560.0, 188.0, 114.67415536118072], [316.0, 14.0, 118.04384923596974], [408.0, 95.0, 156.77577573828086], [441.0, 183.0, 140.6106342777244], [441.0, 251.0, 127.33517649418387], [258.0, 48.0, 151.64405180335012], [337.0, 125.0, 170.07749217063036], [358.0, 192.0, 128.3115970742832], [351.0, 242.0, 99.95010637639665], [216.0, 81.0, 177.72422570221772], [265.0, 143.0, 185.20697049793336], [283.0, 190.0, 156.69758972655018], [282.0, 230.0, 135.3556533202766], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05], [143.0, -319.0, -1.2138784768467303e-05]]"
7,0,"[[0.0, 0.0, 0.0], [157.0, 37.0, -61.83618485454376], [285.0, 85.0, -41.58783844345409], [365.0, 157.0, -10.22151796704398], [414.0, 213.0, 26.011800332532175], [328.0, -37.0, 82.85447058588032], [447.0, 6.0, 117.28682319694128], [492.0, 75.0, 124.32625006241979], [502.0, 145.0, 126.74122420288303], [277.0, -2.0, 127.80324649399263], [377.0, 75.0, 158.6882265351586], [393.0, 155.0, 133.07001123071552], [378.0, 212.0, 116.9899563007739], [230.0, 33.0, 161.09324975262206], [308.0, 107.0, 172.7310963999135], [310.0, 163.0, 118.70667735753376], [287.0, 202.0, 86.08642380859102], [193.0, 67.0, 188.74596517223517], [243.0, 121.0, 193.16381514545623], [254.0, 161.0, 156.56376675448325], [243.0, 196.0, 130.9679583267253], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05], [87.0, -304.0, -1.4458399924421883e-05]]"
8,0,"[[0.0, 0.0, 0.0], [-93.0, 26.0, -35.47869376679454], [-192.0, 57.0, -42.92141741264156], [-260.0, 116.0, -45.25214293505969], [-305.0, 175.0, -45.076145284659546], [-287.0, -48.0, -1.7749992055918682], [-388.0, -5.0, -11.671100407867371], [-423.0, 67.0, -20.659490040394857], [-430.0, 121.0, -25.260845745562293], [-267.0, -19.0, 10.76624094622953], [-374.0, 66.0, -11.407408903776371], [-349.0, 126.0, -31.32392332572173], [-306.0, 146.0, -37.27395688197148], [-240.0, 20.0, 18.68947676360264], [-335.0, 97.0, -7.792822298094137], [-310.0, 145.0, -32.07503530980267], [-274.0, 157.0, -40.18947324946395], [-208.0, 57.0, 23.536483735124378], [-277.0, 131.0, 4.94370612505179], [-279.0, 183.0, -11.486500684159964], [-272.0, 205.0, -19.2682212758981], [-1389.0, 6.0, 8.350719923555516e-06], [-1286.0, 65.0, -94.87587576601929], [-1191.0, 124.0, -89.69914485923395], [-1114.0, 199.0, -65.26142687498292], [-1059.0, 242.0, -37.686424748738105], [-1081.0, 9.0, 29.975021593189084], [-985.0, 98.0, 29.96017651849496], [-943.0, 185.0, 3.9672764981024358], [-929.0, 266.0, -16.984425707689965], [-1114.0, 31.0, 83.84116710834927], [-1057.0, 156.0, 67.04119688902414], [-1112.0, 213.0, 6.664235268118176], [-1168.0, 240.0, -28.871852924100352], [-1147.0, 56.0, 125.27563606689732], [-1117.0, 164.0, 93.2332536270387], [-1165.0, 199.0, 9.320267799972768], [-1212.0, 210.0, -38.62536164753301], [-1175.0, 82.0, 160.1241242339807], [-1168.0, 163.0, 125.52973269812189], [-1198.0, 195.0, 63.325326430014016], [-1229.0, 209.0, 23.40138417166915]]"
9,0,"[[0.0, 0.0, 0.0], [-76.0, -3.0, -79.25291303602813], [-182.0, 15.0, -101.76769646205445], [-265.0, 64.0, -108.16753343680503], [-328.0, 119.0, -111.9924333985838], [-293.0, -54.0, -56.832879260940565], [-407.0, 2.0, -78.86212630269532], [-436.0, 80.0, -94.73670606416363], [-424.0, 142.0, -102.7569984175774], [-271.0, 1.0, -19.48278887553016], [-368.0, 83.0, -51.46391568031327], [-353.0, 155.0, -81.35052732920836], [-325.0, 194.0, -94.80170165702172], [-243.0, 58.0, 11.706802323056436], [-319.0, 130.0, -24.16291471308213], [-316.0, 194.0, -63.15759396675409], [-296.0, 232.0, -81.02434422611245], [-212.0, 106.0, 38.067688987357045], [-271.0, 170.0, 11.001894843785607], [-285.0, 219.0, -16.75659670464225], [-286.0, 252.0, -32.435812350386044], [-1384.0, -28.0, -1.3212552119057364e-06], [-1242.0, 2.0, -71.93556176731727], [-1118.0, 36.0, -67.65156242253838], [-1029.0, 103.0, -50.02212505465513], [-971.0, 156.0, -28.577756445985926], [-1033.0, -70.0, 40.56373035988922], [-913.0, 4.0, 54.09561973672716], [-859.0, 78.0, 47.94338320971097], [-836.0, 144.0, 42.047437585261875], [-1081.0, -18.0, 83.60864420611507], [-979.0, 79.0, 86.75274604619433], [-980.0, 150.0, 54.14994458598731], [-996.0, 193.0, 36.253630399670485], [-1125.0, 33.0, 115.99650974538544], [-1036.0, 123.0, 103.67553330994421], [-1016.0, 184.0, 48.14326367086183], [-1016.0, 218.0, 17.1428083311999], [-1162.0, 83.0, 143.00756660141622], [-1102.0, 161.0, 129.50687627918785], [-1064.0, 213.0, 89.24268567225029], [-1041.0, 250.0, 62.16093513988314]]"
